Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
439,10,2012,2,1049,9170.0,0.0,7,40
348,10,2012,2,1049,600.0,0.0,7,33
388,10,2012,2,1049,310.0,0.0,7,42
2365,10,2012,2,1049,500.0,0.0,7,36
2350,11,2012,2,1049,3000.0,0.0,7,43
375,7,2012,2,1049,1400.0,0.0,15,158
2361,7,2012,2,1049,1200.0,0.0,7,37
314,17,2012,2,1049,450.0,0.0,7,45
2361,7,2012,2,1049,1500.0,0.0,7,44
2572,17,1341,0,1053,0.0,5625.0,65,221
1481,7,463,7,1203,60000.0,5625.0,65,221
3051,3,463,7,1203,4500.0,0.0,65,221
1309,7,463,7,1203,5500.0,0.0,65,221
1377,7,463,7,1203,12000.0,300.0,65,221
2484,10,240,7,1214,0.0,0.0,65,221
2760,17,463,7,1219,25125.0,2269.0,65,221
1448,11,456,7,1219,2200.0,0.0,65,221
2204,1,615,7,1219,300.0,0.0,65,221
2204,1,715,7,1219,300.0,0.0,65,221
2571,17,1072,0,1229,75000.0,5625.0,65,221
776,7,1424,2,1144,1000.0,0.0,65,221
1571,6,463,7,1168,3000.0,0.0,65,221
2308,7,768,2,1168,1000.0,0.0,7,30
2571,17,170,7,1176,75000.0,5625.0,65,221
980,6,1424,2,1180,3000.0,0.0,65,221
2762,13,396,2,1180,29000.0,3300.0,65,221
2903,17,886,2,1180,2200.0,0.0,16,159
948,10,365,2,1188,800.0,0.0,7,35
334,17,1095,2,1193,0.0,0.0,65,221
372,7,1095,2,1193,0.0,0.0,65,221
1529,10,1424,2,1326,2000.0,0.0,65,221
2448,17,463,7,1331,2400.0,0.0,65,221
2226,7,463,7,1331,3000.0,0.0,65,221
1377,7,463,7,1243,1800.0,0.0,65,221
2144,8,463,7,1243,400.0,0.0,65,221
3148,10,52,7,1243,7000.0,0.0,65,221
2248,5,52,7,1243,1500.0,0.0,65,221
1516,5,52,7,1243,1000.0,0.0,65,221
2248,5,52,7,1243,1500.0,0.0,65,221
1515,5,708,7,1243,1000.0,0.0,65,221
1963,5,1644,7,1243,1000.0,0.0,65,221
1976,5,612,7,1243,350.0,0.0,65,221
1976,5,249,7,1243,350.0,0.0,65,221
2255,5,164,7,1243,350.0,0.0,65,221
2255,5,1564,7,1243,350.0,0.0,65,221
1482,7,468,7,1265,4500.0,0.0,65,221
2460,5,1424,2,1277,300.0,0.0,65,221
2571,17,1046,0,1277,75000.0,5625.0,65,221
702,7,1424,2,1281,2700.0,0.0,65,221
2747,17,836,2,1296,97450.0,5625.0,65,221
2255,5,242,7,1302,0.0,0.0,65,221
360,10,365,2,1302,0.0,0.0,65,221
407,7,1424,2,1305,1500.0,0.0,65,221
2571,17,1310,2,1305,75000.0,5625.0,65,221
2571,17,708,7,1313,75000.0,5625.0,65,221
2093,17,1639,7,1313,97450.0,0.0,65,221
2571,17,637,7,1313,75000.0,5625.0,65,221
2571,17,703,7,1313,75000.0,5625.0,65,221
2571,17,1352,0,1318,75000.0,0.0,65,221
1562,7,461,7,1318,97450.0,5625.0,65,221
1456,10,461,7,1318,97450.0,0.0,65,221
3156,7,467,7,1318,0.0,747.0,5,8
1759,2,898,2,1376,10000.0,0.0,65,221
2149,2,1424,2,1433,10000.0,0.0,65,221
1459,6,1424,2,1433,1800.0,0.0,65,221
1414,6,461,7,1433,16000.0,900.0,65,221
1416,6,461,7,1433,7000.0,0.0,65,221
1415,6,461,7,1433,7000.0,0.0,65,221
1570,6,461,7,1433,4000.0,0.0,65,221
1569,6,461,7,1433,2500.0,0.0,65,221
2224,10,52,7,1433,15000.0,750.0,65,221
1446,7,461,7,1433,0.0,0.0,65,221
1531,7,461,7,1433,15000.0,750.0,65,221
1378,7,1424,2,1437,1200.0,0.0,65,221
1261,17,651,7,1355,25000.0,2250.0,65,221
2571,17,511,11,1355,30000.0,3000.0,65,221
2571,17,1695,7,1355,30000.0,0.0,65,221
2571,17,556,7,1355,30000.0,0.0,65,221
2571,17,1864,7,1355,30000.0,0.0,65,221
2571,17,1506,11,1355,30000.0,0.0,65,221
2571,17,1230,6,1367,30000.0,3000.0,65,221
2094,17,1342,6,1388,30000.0,3000.0,65,221
2571,17,1580,6,1409,30000.0,3000.0,65,221
2761,7,461,7,114,2000.0,0.0,65,221
920,7,468,7,114,1500.0,0.0,65,221
2307,7,468,7,114,1000.0,0.0,65,221
2215,7,468,7,114,0.0,0.0,65,221
2130,7,468,7,114,1800.0,0.0,65,221
1296,14,468,7,114,3500.0,0.0,65,221
2257,5,468,7,114,60.0,0.0,65,221
1627,17,468,7,114,0.0,0.0,65,221
2394,17,468,7,114,1200.0,0.0,65,221
879,11,468,7,114,600.0,0.0,65,221
1371,7,52,7,114,0.0,0.0,65,221
885,17,898,2,210,0.0,0.0,65,221
1884,7,898,2,210,1500.0,0.0,65,221
526,8,898,2,134,300.0,0.0,65,221
979,6,831,2,143,3500.0,0.0,65,221
974,6,831,2,143,3500.0,0.0,65,221
1648,17,1424,2,164,20000.0,1500.0,65,221
1543,10,1635,2,164,26000.0,0.0,65,221
1864,5,1635,2,164,400.0,0.0,65,221
2571,17,1526,6,194,30000.0,0.0,65,221
893,7,1424,2,199,400.0,0.0,65,221
2096,17,1337,2,230,0.0,4500.0,65,221
2097,17,1442,2,230,0.0,3300.0,65,221
2597,17,374,2,312,44550.0,5183.0,65,221
480,7,766,2,316,3000.0,0.0,65,221
2007,7,1424,2,290,2500.0,0.0,65,221
2189,7,1829,0,428,400.0,0.0,65,221
1710,10,1416,2,340,97450.0,5625.0,65,221
2752,17,1416,2,340,68000.0,5625.0,65,221
2296,17,28,2,360,300.0,0.0,65,221
1453,10,468,7,150,2000.0,0.0,65,221
2758,7,468,7,194,3500.0,0.0,65,221
2748,7,468,7,194,7500.0,0.0,65,221
2756,10,708,7,194,3800.0,0.0,65,221
2352,11,1421,2,352,1500.0,0.0,7,29
1624,17,1422,2,384,1200.0,0.0,65,221
404,7,1422,2,412,1000.0,0.0,65,221
529,2,464,7,432,30000.0,3000.0,65,221
3115,2,790,2,436,11000.0,150.0,65,221
449,6,1490,2,36,500.0,0.0,7,50
1387,7,1418,2,96,1000.0,0.0,7,59
2149,2,785,2,109,30000.0,3000.0,65,221
1388,7,121,7,109,350.0,0.0,65,221
2302,7,207,7,109,400.0,0.0,65,221
2302,7,1912,7,109,400.0,0.0,65,221
371,7,938,7,109,4500.0,0.0,65,221
1388,7,193,7,109,350.0,0.0,65,221
2336,17,184,7,109,3000.0,0.0,65,221
1822,7,728,0,109,3500.0,0.0,65,221
2190,7,1278,0,109,3500.0,0.0,65,221
2332,17,1549,0,109,3000.0,0.0,65,221
2332,17,1505,0,109,3000.0,0.0,65,221
2336,17,1474,0,109,3000.0,0.0,65,221
404,7,1495,0,109,3500.0,0.0,65,221
404,7,1122,0,109,3500.0,0.0,65,221
2336,17,451,0,4,3000.0,0.0,65,221
502,17,2044,2,21,50000.0,0.0,26,169
2356,17,2044,2,21,0.0,0.0,65,221
1694,17,90,7,21,72000.0,5625.0,65,221
1693,17,86,7,21,62000.0,5625.0,65,221
1692,17,1418,2,27,62000.0,5625.0,65,221
2149,2,866,2,40,4500.0,0.0,65,221
1573,6,866,2,40,2200.0,0.0,7,56
1677,17,450,2,40,5200.0,0.0,7,112
3183,17,940,2,45,0.0,0.0,7,28
1385,7,210,2,45,1000.0,0.0,7,100
1376,7,210,2,45,4500.0,0.0,24,167
2626,17,1117,6,83,85000.0,5625.0,65,221
2924,17,1117,6,83,33000.0,3450.0,65,221
1672,17,1586,6,83,97450.0,5625.0,65,221
1278,17,1586,6,83,18000.0,1275.0,65,221
1658,17,1597,6,83,80000.0,5625.0,65,221
1669,17,1597,6,83,18000.0,1200.0,65,221
1658,17,817,6,83,85000.0,0.0,65,221
1669,17,817,6,83,18500.0,0.0,65,221
1658,17,1617,6,83,80000.0,0.0,65,221
1669,17,1617,6,83,18500.0,0.0,65,221
